data;date;place;place2;latitude;longitude
#gempa (update) mag:2.9, 05-jan-23 05:34:42 wib, lok:6.83 ls, 107.07 bt (pusat gempa berada di darat 7 km baratdaya kab. cianjur), kedlmn:10 km dirasakan (mmi) iii cianjur #bmkg;2022-01-05;cianjur;;-6.83;107.07
#gempa (update) mag:2.9, 05-jan-23 05:34:42 wib, lok:6.83 ls, 107.07 bt (pusat gempa berada di darat 7 km baratdaya kab. cianjur), kedlmn:10 km dirasakan (mmi) ii cianjur #bmkg;2022-01-05;cianjur;;-6.83;107.07
"#gempa mag:2.9, 05-jan-2023 05:34:42wib, lok:6.83ls, 107.07bt (7 km baratdaya kab-cianjur-jabar), kedlmn:10 km #bmkg 
disclaimer:dlm bbrp menit pertama stlh gmp,parameter gmp dapat berubah dan boleh jadi blm akurat,kecuali tlh dianalisis ulang seismolog";2022-01-05;cianjur;jabar;-6.83;107.07
"#gempa mag:3.7, 05-jan-2023 05:15:21wib, lok:2.54ls, 140.78bt (89 km timurlaut keerom-papua), kedlmn:10 km #bmkg 
disclaimer:dlm bbrp menit pertama stlh gmp,parameter gmp dapat berubah dan boleh jadi blm akurat,kecuali tlh dianalisis ulang seismolog";2022-01-05;keerom;papua;-2.54;140.78
"#gempa mag:3.2, 05-jan-2023 04:29:41wib, lok:1.36lu, 124.50bt (19 km baratlaut amurang-minsel-sulut), kedlmn:251 km #bmkg 
disclaimer:dlm bbrp menit pertama stlh gmp,parameter gmp dapat berubah dan boleh jadi blm akurat,kecuali tlh dianalisis ulang seismolog";2022-01-05;minsel;sulut;1.36;124.50
"#gempa mag:3.7, 05-jan-2023 03:49:19wib, lok:3.64ls, 133.59bt (55 km baratdaya kaimana-papuabrt), kedlmn:17 km #bmkg 
disclaimer:dlm bbrp menit pertama stlh gmp,parameter gmp dapat berubah dan boleh jadi blm akurat,kecuali tlh dianalisis ulang seismolog";2022-01-05;kaimana;papuabrt;-3.64;133.59
"#gempa mag:3.8, 05-jan-2023 01:32:56wib, lok:6.99ls, 105.36bt (43 km baratdaya sumur-banten), kedlmn:10 km #bmkg 
disclaimer:dlm bbrp menit pertama stlh gmp,parameter gmp dapat berubah dan boleh jadi blm akurat,kecuali tlh dianalisis ulang seismolog";2022-01-05;sumur;banten;-6.99;105.36
"#gempa mag:1.8, 05-jan-2023 00:08:02wib, lok:2.51ls, 140.69bt (93 km baratlaut keerom-papua), kedlmn:12 km #bmkg 
disclaimer:dlm bbrp menit pertama stlh gmp,parameter gmp dapat berubah dan boleh jadi blm akurat,kecuali tlh dianalisis ulang seismolog";2022-01-05;keerom;papua;-2.51;140.69
"#gempa mag:4.0, 05-jan-2023 00:03:37wib, lok:3.64lu, 126.96bt (50 km tenggara melonguane-sulut), kedlmn:10 km #bmkg 
disclaimer:dlm bbrp menit pertama stlh gmp,parameter gmp dapat berubah dan boleh jadi blm akurat,kecuali tlh dianalisis ulang seismolog";2022-01-05;melonguane;sulut;3.64;126.96
"#gempa mag:4.1, 04-jan-2023 23:36:19wib, lok:3.96lu, 127.02bt (38 km tenggara melonguane-sulut), kedlmn:41 km #bmkg 
disclaimer:dlm bbrp menit pertama stlh gmp,parameter gmp dapat berubah dan boleh jadi blm akurat,kecuali tlh dianalisis ulang seismolog";2022-01-04;melonguane;sulut;3.96;127.02
